keyword,company,score
브랜드력,네오팜,0.3
전일,네오팜,0.3
투자,네오팜,0.3
화장품,네오팜,0.3
ET,네오팜,0.3
네오펙트,네오펙트,1
매출,네오펙트,0.3
전일,네오펙트,0.3
급등,네이처셀,0.3
네이처셀,네이처셀,1
주가,네이처셀,0.3
기관,네패스,0.3
네패스,네패스,1
메모리,네패스,0.3
수혜,네패스,0.3
외국인,네패스,0.3
종목,네패스,0.3
코스닥,네패스,0.3
투자,네패스,0.3
ET,네패스,0.3
fnRASSI,네패스,0.3
금민철,넥센,0.3
넥센,넥센,1
세인트,넥센,0.3
중앙,넥센,0.3
넥센타이어,넥센타이어,1
투자,넥센타이어,0.3
규모,넥스턴,0.3
넥스턴,넥스턴,1
넥스트아이,넥스트아이,1
천광,넥스트아이,0.5
넥슨지티,넥슨지티,1
넷게임즈,넥슨지티,0.5
넵튠,넵튠,1
모바일,넵튠,0.3
초반,넵튠,0.3
넥슨지티,넷게임즈,0.5
넷게임즈,넷게임즈,1
상승,넷게임즈,0.3
게임,넷마블,0.3
기대,넷마블,0.3
넥슨,넷마블,0.3
넷마블,넷마블,1
대작,넷마블,0.3
대죄,넷마블,0.3
등록,넷마블,0.3
레볼루션,넷마블,0.3
매니저,넷마블,0.3
모두,넷마블,0.3
모바일,넷마블,0.3
모바일게임,넷마블,0.3
문화,넷마블,0.3
방준혁,넷마블,0.3
방탄소년단,넷마블,0.3
사전,넷마블,0.3
신작,넷마블,0.3
실적,넷마블,0.3
아이언,넷마블,0.3
앱,넷마블,0.3
오브,넷마블,0.3
올해,넷마블,0.3
인수,넷마블,0.3
입찰,넷마블,0.3
장애,넷마블,0.3
장외,넷마블,0.3
전일,넷마블,0.3
주가,넷마블,0.3
채널,넷마블,0.3
킹,넷마블,0.3
흥행,넷마블,0.3
BTS,넷마블,0.3
CBT,넷마블,0.3
PRNewswire,넷마블,0.3
노랑풍선,노랑풍선,1
시티,노랑풍선,0.3
노루홀딩스,노루홀딩스,1
전일,노루홀딩스,0.3
강원,노바텍,0.3
노바텍,노바텍,1
상승,노바텍,0.3
상한가,노바텍,0.3
전일,노바텍,0.3
fnRASSI,노바텍,0.3
가족,녹십자,0.3
녹십자,녹십자,1
마켓,녹십자,0.3
백신,녹십자,0.3
웰빙,녹십자,0.3
이웃,녹십자,0.3
인사이트,녹십자,0.3
주권,녹십자,0.3
혈우병,녹십자,0.3
GC,녹십자,0.3
녹십자랩셀,녹십자랩셀,1
전일,녹십자랩셀,0.3
녹십자홀딩스,녹십자홀딩스,1
허일섭,녹십자홀딩스,0.3
녹원씨엔아이,녹원씨엔아이,1
스마트폰,녹원씨엔아이,0.3
지투하이소닉,녹원씨엔아이,0.5
최종,녹원씨엔아이,0.3
너구리,농심,0.3
농심,농심,1
맛,농심,0.3
반격,농심,0.3
비빔면,농심,0.3
스푼,농심,0.3
엔씨소프트,농심,0.5
옥수수,농심,0.3
용기,농심,0.3
치즈,농심,0.3
켈로그,농심,0.3
콘,농심,0.3
R,농심,0.3
뉴로스,뉴로스,1
종목,뉴로스,0.3
뉴인텍,뉴인텍,1
상승,뉴인텍,0.3
뉴트리,뉴트리,1
암웨이,뉴트리,0.3
전일,뉴트리,0.3
주목,뉴트리,0.3
한국,뉴트리,0.3
화장품,뉴트리,0.3
뉴파워프라즈마,뉴파워프라즈마,1
상승,뉴파워프라즈마,0.3
공시,뉴프라이드,0.3
뉴프라이드,뉴프라이드,1
마리화나,뉴프라이드,0.3
매출,뉴프라이드,0.3
사업,뉴프라이드,0.3
실적,뉴프라이드,0.3
전일,다나와,0.3
스토브,다날,0.3
실물,다날,0.3
다나와,다나와,1
DPG,다나와,0.3
다날,다날,1
다믈멀티미디어,다믈멀티미디어,1
성실,다믈멀티미디어,0.3
다산네트웍스,다산네트웍스,1
대양금속,다산네트웍스,0.5
종목,다산네트웍스,0.3
투자,다산네트웍스,0.3
ET,다산네트웍스,0.3
fnRASSI,다산네트웍스,0.3
다스코,다스코,1
친환경,다스코,0.3
ET,다스코,0.3
거래소,다우기술,0.3
다우기술,다우기술,1
불허,다우기술,0.3
키움증권,다우기술,0.5
투자,다우기술,0.3
ET,다우기술,0.3
fnRASSI,다우기술,0.3
거래,다원시스,0.3
다원시스,다원시스,1
특별,다원시스,0.3
강사,대교,0.3
교육,대교,0.3
교육부,대교,0.3
구미시,대교,0.3
국토,대교,0.3
네타냐후,대교,0.3
대교,대교,1
대구,대교,0.3
대통령,대교,0.3
만포,대교,0.3
목포,대교,0.3
무,대교,0.3
문용린,대교,0.3
문화,대교,0.3
부,대교,0.3
브루나이,대교,0.3
사립대,대교,0.3
산호,대교,0.3
세계,대교,0.3
안양,대교,0.3
양근,대교,0.3
양평군,대교,0.3
연,대교,0.3
영동,대교,0.3
영종,대교,0.3
유,대교,0.3
이스라엘,대교,0.3
인천시,대교,0.3
전대,대교,0.3
정의당,대교,0.3
지안,대교,0.3
차나칼레,대교,0.3
천사,대교,0.3
천주교,대교,0.3
최장,대교,0.3
키즈,대교,0.3
터키,대교,0.3
통행료,대교,0.3
혼잡,대교,0.3
AI,대교,0.3
CGV,대교,0.5
CJ,대교,0.5
대덕전자,대덕전자,1
전일,대덕전자,0.3
투자,대덕전자,0.3
대동공업,대동공업,1
자율,대동공업,0.3
전기,대동공업,0.3
화물차,대동공업,0.3
KAIST,대동공업,0.3
대륙제관,대륙제관,1
제,대륙제관,0.3
대림비앤코,대림비앤코,1
이부용,대림비앤코,0.3
