num,code,name,typecode,type
279,187790,나노,32001,기초 화학물질 제조업
280,074610,나노메딕스,32901,일반 목적용 기계 제조업
281,151910,나노스,32602,전자부품 제조업
282,121600,나노신소재,32004,기타 화학제품 제조업
283,039860,나노엔텍,32701,의료용 기기 제조업
284,091970,나노캠텍,32202,플라스틱제품 제조업
285,244880,나눔테크,32701,의료용 기기 제조업
286,288490,나라소프트,105802,소프트웨어 개발 및 공급업
287,051490,나라엠앤디,32902,특수 목적용 기계 제조업
288,190510,나무가,32602,전자부품 제조업
289,242040,나무기술,105802,소프트웨어 개발 및 공급업
290,089600,나스미디어,137103,광고업
291,293580,나우아이비캐피탈,116409,기타 금융업
292,138610,나이벡,32103,의료용품 및 기타 의약 관련제품 제조업
293,130580,나이스디앤비,147509,기타 사업지원 서비스업
294,036800,나이스정보통신,106102,전기 통신업
295,001260,남광토건,64102,토목 건설업
296,008350,남선알미늄,32402,1차 비철금속 제조업
298,003920,남양유업,31005,낙농제품 및 식용빙과류 제조업
299,002070,남영비비안,31401,봉제의복 제조업
300,025860,남해화학,32003,"비료, 농약 및 살균, 살충제 제조업"
301,111710,남화산업,189101,스포츠 서비스업
302,091590,남화토건,64101,건물 건설업
303,168330,내츄럴엔도텍,137001,자연과학 및 공학 연구개발업
304,072770,네오디안테크놀로지,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
305,253590,네오셈,32702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
306,212560,네오오토,33003,자동차 신품 부품 제조업
307,095660,네오위즈,105802,소프트웨어 개발 및 공급업
308,042420,네오위즈홀딩스,116409,기타 금융업
309,085910,네오티스,33003,자동차 신품 부품 제조업
310,092730,네오팜,32004,기타 화학제품 제조업
311,290660,네오펙트,32701,의료용 기기 제조업
312,153460,네이블커뮤니케이션즈,105802,소프트웨어 개발 및 공급업
313,007390,네이처셀,31102,비알코올음료 및 얼음 제조업
314,086220,네추럴FNP,31007,기타 식품 제조업
315,033640,네패스,32601,반도체 제조업
316,087730,네패스신소재,32002,합성고무 및 플라스틱 물질 제조업
317,005720,넥센,116409,기타 금융업
318,002350,넥센타이어,32201,고무제품 제조업
319,089140,넥스턴,32301,유리 및 유리제품 제조업
320,065170,넥스트BT,74603,음·식료품 및 담배 도매업
321,139670,넥스트리밍,105802,소프트웨어 개발 및 공급업
322,003580,넥스트사이언스,20702,기타 비금속광물 광업
323,137940,넥스트아이,32702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
324,041140,넥슨지티,105802,소프트웨어 개발 및 공급업
325,217270,넵튠,105802,소프트웨어 개발 및 공급업
326,225570,넷게임즈,105802,소프트웨어 개발 및 공급업
327,251270,넷마블,105802,소프트웨어 개발 및 공급업
328,104620,노랑풍선,147502,여행사 및 기타 여행보조 서비스업
329,090350,노루페인트,32004,기타 화학제품 제조업
330,000320,노루홀딩스,116409,기타 금융업
331,194700,노바렉스,31007,기타 식품 제조업
332,285490,노바텍,33309,그외 기타 제품 제조업
333,229500,노브메타파마,137001,자연과학 및 공학 연구개발업
334,006280,녹십자,32102,의약품 제조업
335,144510,녹십자랩셀,137309,"그외 기타 전문, 과학 및 기술 서비스업"
336,031390,녹십자셀,32101,기초 의약물질 및 생물학적 제제 제조업
337,142280,녹십자엠에스,32103,의료용품 및 기타 의약 관련제품 제조업
338,005250,녹십자홀딩스,137105,회사 본부 및 경영 컨설팅 서비스업
339,065560,녹원씨엔아이,74607,기타 전문 도매업
340,004370,농심,31007,기타 식품 제조업
341,072710,농심홀딩스,116409,기타 금융업
342,054050,농우바이오,10101,작물 재배업
343,040160,누리텔레콤,105802,소프트웨어 개발 및 공급업
344,069140,누리플랜,32501,"구조용 금속제품, 탱크 및 증기발생기 제조업"
345,126870,뉴로스,32901,일반 목적용 기계 제조업
346,060260,뉴보텍,32202,플라스틱제품 제조업
347,012340,뉴인텍,32602,전자부품 제조업
348,270870,뉴트리,31007,기타 식품 제조업
349,144960,뉴파워프라즈마,32902,특수 목적용 기계 제조업
350,900100,뉴프라이드,74502,자동차 부품 및 내장품 판매업
351,085670,뉴프렉스,32602,전자부품 제조업
352,119860,다나와,105802,소프트웨어 개발 및 공급업
353,064260,다날,105802,소프트웨어 개발 및 공급업
354,093640,다믈멀티미디어,32601,반도체 제조업
355,039560,다산네트웍스,32604,통신 및 방송 장비 제조업
356,058730,다스코,32501,"구조용 금속제품, 탱크 및 증기발생기 제조업"
357,023590,다우기술,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
358,032190,다우데이타,74605,기계장비 및 관련 물품 도매업
359,068240,다원시스,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
360,086080,다이노나,137001,자연과학 및 공학 연구개발업
361,271850,다이오진,137001,자연과학 및 공학 연구개발업
362,019680,대교,168501,초등 교육기관
363,006370,대구백화점,74701,종합 소매업
364,008060,대덕전자,32602,전자부품 제조업
365,178600,대동고려삼,31007,기타 식품 제조업
366,000490,대동공업,32902,특수 목적용 기계 제조업
367,020400,대동금속,32403,금속 주조업
368,008830,대동기어,32902,특수 목적용 기계 제조업
369,048470,대동스틸,32401,1차 철강 제조업
370,008110,대동전자,32604,통신 및 방송 장비 제조업
371,004780,대륙제관,32509,기타 금속 가공제품 제조업
372,005750,대림비앤코,32302,"내화, 비내화 요업제품 제조업"
373,000210,대림산업,64102,토목 건설업
374,004440,대림씨엔에스,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업"
375,017650,대림제지,31709,기타 종이 및 판지 제품 제조업
376,006570,대림통상,32509,기타 금속 가공제품 제조업
377,007720,대명코퍼레이션,74608,상품 종합 도매업
378,290670,대보마그네틱,32809,기타 전기장비 제조업
379,078140,대봉엘에스,32102,의약품 제조업
381,084690,대상홀딩스,116409,기타 금융업
382,036480,대성미생물,32102,의약품 제조업
383,128820,대성산업,74707,연료 소매업
384,117580,대성에너지,43502,연료용 가스 제조 및 배관공급업
385,025440,대성엘텍,32605,영상 및 음향기기 제조업
386,027830,대성창투,116402,신탁업 및 집합투자업
387,104040,대성파인텍,33003,자동차 신품 부품 제조업
388,016710,대성홀딩스,137105,회사 본부 및 경영 컨설팅 서비스업
389,262830,대신밸런스제4호스팩,116601,금융 지원 서비스업
390,303030,대신밸런스제5호스팩,116601,금융 지원 서비스업
391,307750,대신밸런스제6호스팩,116601,금융 지원 서비스업
392,020180,대신정보통신,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
393,003540,대신증권,116601,금융 지원 서비스업
394,045390,대아티아이,32809,기타 전기장비 제조업
395,009190,대양금속,32401,1차 철강 제조업
396,108380,대양전기공업,33101,선박 및 보트 건조업
397,006580,대양제지,31701,"펄프, 종이 및 판지 제조업"
398,014160,대영포장,31702,"골판지, 종이 상자 및 종이용기 제조업"
399,047040,대우건설,64101,건물 건설업
400,009320,대우부품,33003,자동차 신품 부품 제조업
401,042660,대우조선해양,33101,선박 및 보트 건조업
402,003090,대웅,116409,기타 금융업
403,069620,대웅제약,32102,의약품 제조업
405,000430,대원강업,33003,자동차 신품 부품 제조업
406,311840,대원모방,31302,직물직조 및 직물제품 제조업
407,048910,대원미디어,74607,기타 전문 도매업
408,005710,대원산업,33003,자동차 신품 부품 제조업
409,006340,대원전선,32803,절연선 및 케이블 제조업
410,003220,대원제약,32102,의약품 제조업
411,024890,대원화성,32202,플라스틱제품 제조업
412,290380,대유,32003,"비료, 농약 및 살균, 살충제 제조업"
413,002880,대유에이텍,33003,자동차 신품 부품 제조업
414,290120,대유에이피,33003,자동차 신품 부품 제조업
415,071460,대유위니아,32805,가정용 기기 제조업
416,000300,대유플러스,32604,통신 및 방송 장비 제조업
417,120240,대정화금,32001,기초 화학물질 제조업
418,003310,대주산업,31008,동물용 사료 및 조제식품 제조업
419,114920,대주이엔티,32401,1차 철강 제조업
420,078600,대주전자재료,32602,전자부품 제조업
421,065690,대진디엠피,32201,고무제품 제조업
423,015230,대창단조,33003,자동차 신품 부품 제조업
424,096350,대창솔루션,32501,"구조용 금속제품, 탱크 및 증기발생기 제조업"
425,140520,대창스틸,32401,1차 철강 제조업
426,131220,대한과학,74605,기계장비 및 관련 물품 도매업
427,010170,대한광통신,32803,절연선 및 케이블 제조업
428,054670,대한뉴팜,32102,의약품 제조업
429,001070,대한방직,31302,직물직조 및 직물제품 제조업
430,023910,대한약품,32102,의약품 제조업
431,006650,대한유화,32001,기초 화학물질 제조업
432,001440,대한전선,32803,절연선 및 케이블 제조업
433,084010,대한제강,32401,1차 철강 제조업
434,001790,대한제당,31006,"곡물가공품, 전분 및 전분제품 제조업"
435,001130,대한제분,31006,"곡물가공품, 전분 및 전분제품 제조업"
436,003490,대한항공,85101,항공 여객 운송업
437,005880,대한해운,85001,해상 운송업
438,003830,대한화섬,32005,화학섬유 제조업
439,016090,대현,31401,봉제의복 제조업
440,069460,대호에이엘,32402,1차 비철금속 제조업
441,021040,대호피앤씨,32401,1차 철강 제조업
442,067080,대화제약,32102,의약품 제조업
443,192080,더블유게임즈,105802,소프트웨어 개발 및 공급업
444,035290,더블유에프엠,105801,"서적, 잡지 및 기타 인쇄물 출판업"
445,012510,더존비즈온,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
446,302920,더콘텐츠온,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
447,213420,덕산네오룩스,32602,전자부품 제조업
448,077360,덕산하이메탈,32601,반도체 제조업
449,004830,덕성,32202,플라스틱제품 제조업
450,090410,덕신하우징,32501,"구조용 금속제품, 탱크 및 증기발생기 제조업"
451,024900,덕양산업,33003,자동차 신품 부품 제조업
452,263600,덕우전자,32602,전자부품 제조업
