num,code,name,typecode,type
658,059210,메타바이오메드,32103,의료용품 및 기타 의약 관련제품 제조업
659,058110,멕아이씨에스,32701,의료용 기기 제조업
660,096640,멜파스,32602,전자부품 제조업
661,017180,명문제약,32102,의약품 제조업
662,257370,명성티엔에스,32902,특수 목적용 기계 제조업
663,267060,명진홀딩스,31002,수산물 가공 및 저장 처리업
664,012690,모나리자,31709,기타 종이 및 판지 제품 제조업
665,005360,모나미,74604,생활용품 도매업
666,149940,모다,32604,통신 및 방송 장비 제조업
667,080420,모다이노칩,74704,"섬유, 의복, 신발 및 가죽제품 소매업"
668,080160,모두투어,147502,여행사 및 기타 여행보조 서비스업
669,204210,모두투어리츠,126801,부동산 임대 및 공급업
670,100030,모바일리더,105802,소프트웨어 개발 및 공급업
671,087260,모바일어플라이언스,105802,소프트웨어 개발 및 공급업
672,101330,모베이스,32604,통신 및 방송 장비 제조업
