keyword,company,score
카메라,하이비젼시스템,1
카메라,옵트론텍,1
카메라,코렌,1
휴대폰,엠씨넥스,1
휴대폰,LG이노텍,1
휴대폰,나노스,1
휴대폰,삼성전기,1
휴대폰,파트론,1
휴대폰,자화전자,1
휴대폰,세코닉스,1
휴대폰,아이엠,1
휴대폰,캠시스,1
휴대폰,하이비젼시스템,1
휴대폰,옵트론텍,1
휴대폰,코렌,1
통신장비,이노와이어리스,1
통신장비,스카이문스테크놀로지,1
통신장비,에이스테크,1
통신장비,기산텔레콤,1
통신장비,콤텍시스템,1
통신장비,케이엠더블유,1
통신장비,에프알텍,1
통신장비,파인디지털,1
통신장비,서원인텍,1
LCD,네패스,1
LCD,SK머티리얼즈,1
LCD,솔브레인,1
LCD,이엔에프테크놀로지,1
LCD,동진쎄미켐,1
반도체,삼성전자,1
반도체,SK하이닉스,1
반도체,DB하이텍,1
모바일솔루션,한글과컴퓨터,1
모바일솔루션,유엔젤,1
모바일솔루션,텔코웨어,1
모바일솔루션,넥스트리밍,1
모바일솔루션,케이씨티,1
모바일솔루션,엔텔스,1
모바일솔루션,인프라웨어,1
모바일솔루션,플랜티넷,1
모바일솔루션,필링크,1
모바일솔루션,갤럭시아컴즈,1
모바일솔루션,인포뱅크,1
모바일솔루션,셀바스AI,1
모바일솔루션,유비벨록스,1
모바일솔루션,지트리비앤티,1
모바일솔루션,지어소프트,1
자동차,서연전자,1
자동차,평화정공,1
자동차,한라홀딩스,1
자동차,팅크웨어,1
자동차,S&T모티브,1
자동차,텔레칩스,1
자동차,현대모비스,1
자동차,에스엘,1
자동차,한컴MDS,1
자동차,유비벨록스,1
원자력,우진,1
원자력,일진파워,1
클라우드,케이아이엔엑스,1
클라우드,엔텔스,1
클라우드,엑셈,1
클라우드,모바일리더,1
클라우드,SK,1
클라우드,SK텔레콤,1
클라우드,KT,1
클라우드,LG유플러스,1
클라우드,다우기술,1
클라우드,더존비즈온,1
의료기기,인터로조,1
의료기기,삼영무역,1
의료기기,휴비츠,1

안과,인터로조,1
안과,삼영무역,1
안과,휴비츠,1
전자결제,이크레더블,1
전자결제_B2B,지와이커머스,1
전자결제_B2B,이상네트웍스,1
전자결제_B2B,아이마켓코리아,1
풍력,THEE&M,1
풍력,우림기계,1
풍력,현진소재,1
풍력,삼영엠텍,1
풍력,태웅,1
풍력,동국S&C,1
풍력,유니슨,1
휴대폰,이아이디,1
휴대폰,한국단자,1
휴대폰,재영솔루텍,1
휴대폰,KH바텍,1
휴대폰,삼우엠스,1
휴대폰,우주일렉트로,1
휴대폰,KJ프리텍,1
휴대폰,피앤텔,1
휴대폰,인탑스,1
휴대폰,모베이스,1
화력,큐로,1
화력,S&TC,1
화력,비에이치아이,1
AMOLED,에스에프에이,1
AMOLED,아이씨디,1
AMOLED,에스엔유,1
AMOLED,비아트론,1
AMOLED,인베니아,1
AMOLED,아바코,1
AMOLED,주성엔지니어링,1
AMOLED,APS홀딩스,1
AMOLED,원익홀딩스,1
합성고무,LG화학,1
합성고무,금호석유,1
SI,동양네트웍스,1
SI,현대정보기술,1
SI,포스코 ICT,1
SI,효성ITX,1
SI,DB,1
SI,쌍용정보통신,1
SI,SK,1
SI,신세계 I&C,1
SI,다우기술,1
SI,더존비즈온,1
LCD,에스에프에이,1
LCD,에스엔유,1
LCD,탑엔지니어링,1
LCD,인베니아,1
LCD,아바코,1
LCD,주성엔지니어링,1
LCD,톱텍,1
LCD,APS홀딩스,1
LCD,케이씨,1
LCD,참엔지니어링,1
LCD,원익홀딩스,1
반도체,원익QnC,1
반도체,SK머티리얼즈,1
반도체,솔브레인,1
반도체,솔브레인,1
반도체,이엔에프테크놀로지,1
반도체,동진쎄미켐,1
반도체,원익머트리얼즈,1
반도체,SKC 솔믹스,1
